Molecule	Upper Manifold	M'	Sym'	#'	Lower Manifold	M"	Sym"	#"	Position	Intensity	Eupper	Elower	Spol	A	Width	Branch	Label
138BaF	A12	37	-	1	X	39	-	2	11613.4988252828	4250528.63795408	11704.1361137	90.6372884172	2.88423247863248	4250528.63795408	0	oP12(39)37,39	A12 v=0 37 36  1 F1f 37 - X v=0 39 40  1 F2f 39
138BaF	A12	5	-	33	X	3	-	38	11613.4988252828	877639.516338696	11704.1361137	90.6372884172	0.595529783037475	877639.516338696	0	oP12(39)5,3	A12 v=0 37 36  1 F1f  5 - X v=0 39 40  1 F2f  3
138BaF	A12	37	-	1	X	37	-	4	11613.4988252828	217975.827587389	11704.1361137	90.6372884172	0.147909357878589	217975.827587389	0	oP12(39)37,37	A12 v=0 37 36  1 F1f 37 - X v=0 39 40  1 F2f 37
138BaF	A12	35	-	3	X	37	-	4	11613.4988252828	4032552.81036669	11704.1361137	90.6372884172	2.73632312075389	4032552.81036669	0	oP12(39)35,37	A12 v=0 37 36  1 F1f 35 - X v=0 39 40  1 F2f 37
138BaF	A12	-37	-	1	X	-39	-	2	11613.4988252828	4250528.63795408	11704.1361137	90.6372884172	2.88423247863248	4250528.63795408	0	oP12(39)-37,-39	A12 v=0 37 36  1 F1f -37 - X v=0 39 40  1 F2f -39
138BaF	A12	-17	-	21	X	-17	-	24	11613.4988252828	1766751.44465568	11704.1361137	90.6372884172	1.19884426912119	1766751.44465568	0	oP12(39)-17,-17	A12 v=0 37 36  1 F1f -17 - X v=0 39 40  1 F2f -17
138BaF	A12	-1	-	37	X	-1	-	40	11613.4988252828	2179758.27587389	11704.1361137	90.6372884172	1.47909357878589	2179758.27587389	0	oP12(39)-1,-1	A12 v=0 37 36  1 F1f -1 - X v=0 39 40  1 F2f -1
138BaF	A12	37	-	1	X	35	-	6	11613.4988252828	5736.20598914181	11704.1361137	90.6372884172	0.00389235152312075	5736.20598914181	0	oP12(39)37,35	A12 v=0 37 36  1 F1f 37 - X v=0 39 40  1 F2f 35
138BaF	A12	35	-	3	X	35	-	6	11613.4988252828	424479.243196494	11704.1361137	90.6372884172	0.288034012710936	424479.243196494	0	oP12(39)35,35	A12 v=0 37 36  1 F1f 35 - X v=0 39 40  1 F2f 35
138BaF	A12	-15	-	23	X	-17	-	24	11613.4988252828	2168285.8638956	11704.1361137	90.6372884172	1.47130887573964	2168285.8638956	0	oP12(39)-15,-17	A12 v=0 37 36  1 F1f -15 - X v=0 39 40  1 F2f -17
